Date,Dernier,Ouv.,Plus Haut,Plus Bas,Variation %
26/05/2022,"0,01532","0,01685","0,01685","0,01524","-7,68%"
25/05/2022,"0,01660","0,01769","0,01863","0,01640","-3,91%"
24/05/2022,"0,01727","0,01697","0,01837","0,01667","1,00%"
23/05/2022,"0,01710","0,01590","0,01783","0,01589","5,86%"
20/05/2022,"0,01616","0,01610","0,01744","0,01543","0,41%"
19/05/2022,"0,01609","0,01562","0,01663","0,01515","4,03%"
18/05/2022,"0,01547","0,01529","0,01630","0,01495","0,97%"
17/05/2022,"0,01532","0,01577","0,01614","0,01495","-1,15%"
16/05/2022,"0,01550","0,01546","0,01608","0,01494","2,91%"
13/05/2022,"0,01506","0,01556","0,01617","0,01482","-2,64%"
12/05/2022,"0,01547","0,01499","0,01594","0,01462","3,10%"
11/05/2022,"0,01500","0,01433","0,01537","0,01411","5,07%"
10/05/2022,"0,01428","0,01428","0,01493","0,01399","-0,18%"
09/05/2022,"0,01430","0,01441","0,01495","0,01374","-1,43%"
06/05/2022,"0,01451","0,01535","0,01580","0,01427","-5,81%"
05/05/2022,"0,01541","0,01473","0,01598","0,01463","1,74%"
04/05/2022,"0,01514","0,01489","0,01566","0,01442","3,22%"
03/05/2022,"0,01467","0,01418","0,01534","0,01381","3,56%"
02/05/2022,"0,01417","0,01366","0,01441","0,01353","3,72%"
29/04/2022,"0,01366","0,01379","0,01456","0,01348","-0,75%"
28/04/2022,"0,01376","0,01355","0,01426","0,01313","1,38%"
27/04/2022,"0,01357","0,01348","0,01395","0,01294","2,55%"
26/04/2022,"0,01324","0,01332","0,01391","0,01305","-0,79%"
25/04/2022,"0,01334","0,01294","0,01385","0,01242","3,13%"
22/04/2022,"0,01294","0,01250","0,01337","0,01227","4,54%"
21/04/2022,"0,01238","0,01210","0,01333","0,01187","1,71%"
20/04/2022,"0,01217","0,01242","0,01282","0,01166","-1,83%"
19/04/2022,"0,01240","0,01231","0,01283","0,01213","0,47%"
18/04/2022,"0,01234","0,01202","0,01271","0,01184","-0,46%"
15/04/2022,"0,01240","0,01210","0,01254","0,01199","2,33%"
14/04/2022,"0,01211","0,01214","0,01244","0,01181","-0,16%"
13/04/2022,"0,01213","0,01173","0,01258","0,01165","3,49%"
12/04/2022,"0,01172","0,01213","0,01260","0,01151","-2,20%"
11/04/2022,"0,01199","0,01267","0,01281","0,01155","-3,90%"
08/04/2022,"0,01247","0,01283","0,01330","0,01223","-1,24%"
07/04/2022,"0,01263","0,01192","0,01301","0,01188","4,10%"
06/04/2022,"0,01213","0,01192","0,01240","0,01167","2,13%"
05/04/2022,"0,01188","0,01199","0,01220","0,01159","-0,31%"
04/04/2022,"0,01192","0,01251","0,01259","0,01119","2,09%"
01/04/2022,"0,01167","0,01236","0,01236","0,01115","-4,67%"
31/03/2022,"0,01224","0,01198","0,01258","0,01172","1,41%"
30/03/2022,"0,01207","0,01165","0,01265","0,01082","4,87%"
29/03/2022,"0,01151","0,01026","0,01222","0,01005","8,69%"
28/03/2022,"0,01059","0,00950","0,01096","0,00943","9,59%"
25/03/2022,"0,00967","0,00983","0,01058","0,00937","-1,70%"
24/03/2022,"0,00983","0,00551","0,01083","0,00948","-5,43%"
23/03/2022,"0,01040","0,00957","0,01085","0,00915","9,72%"
22/03/2022,"0,00948","0,00962","0,00996","0,00893","0,57%"
21/03/2022,"0,00942","0,00534","0,01015","0,00867","-0,14%"
18/03/2022,"0,00944","0,00967","0,01023","0,00887","-3,56%"
17/03/2022,"0,00978","0,01043","0,01063","0,00915","-4,68%"
16/03/2022,"0,01026","0,00953","0,01048","0,00859","8,77%"
15/03/2022,"0,00944","0,00837","0,00993","0,00815","14,69%"
14/03/2022,"0,00823","0,00757","0,00909","0,00747","9,91%"
11/03/2022,"0,00749","0,00760","0,00886","0,00731","-0,38%"
10/03/2022,"0,00751","0,00740","0,00866","0,00715","3,02%"
09/03/2022,"0,00729","0,00772","0,00865","0,00720","-7,31%"
08/03/2022,"0,00787","0,00780","0,00830","0,00709","12,23%"
